Species,Sub-species,Source Acronym,Source,Source Release Date,5E-compatible Sub-species,2024-appropriate Sub-species
Aarakocra,Aarakocra (MPMM),MPMM,Mordenkainen Presents: Monsters of the Multiverse,20220517,TRUE,TRUE
Aarakocra,Aarakocra (EEPC),EEPC,Elemental Evil Player's Companion,20150310,TRUE,FALSE
Aasimar,Standard Aasimar,PHB24,Player’s Handbook (2024),20240917,FALSE,TRUE
Aasimar,Consumption Aasimar,MPMM,Mordenkainen Presents: Monsters of the Multiverse,20220517,TRUE,TRUE
Aasimar,Radiant Aasimar,MPMM,Mordenkainen Presents: Monsters of the Multiverse,20220517,TRUE,TRUE
Aasimar,Shroud Aasimar,MPMM,Mordenkainen Presents: Monsters of the Multiverse,20220517,TRUE,TRUE
Aasimar,Fernian Aasimar ,ExE24,Exploring Eberron (2024),20260127,FALSE,TRUE
Aasimar,Mabaran Aasimar,ExE24,Exploring Eberron (2024),20260127,FALSE,TRUE
Aasimar,Variant Aasimar,DMG14,Dungeon Master’s Guide (2014),20141209,TRUE,FALSE
Bugbear,Old Bugbear,MPMM,Mordenkainen Presents: Monsters of the Multiverse,20220517,TRUE,TRUE
Bugbear,Dhakaani Guul’dar,ExE24,Exploring Eberron (2024),20260127,FALSE,TRUE
Centaur,Centaur,MPMM,Mordenkainen Presents: Monsters of the Multiverse,20220517,TRUE,TRUE
Changeling,Changeling (MPMM),MPMM,Mordenkainen Presents: Monsters of the Multiverse,20220517,TRUE,TRUE
Changeling,Changeling (ERftLW),ERftLW,Eberron: Rising from the Last War,20191119,TRUE,FALSE
Changeling,Changeling (EFotA),EFotA,Eberron: Forge of the Artificer,20251209,FALSE,TRUE
Custom Lineage,Custom Lineage with Darkvision,TCoE,Tasha’s Cauldron of Everything,20201117,TRUE,FALSE
Custom Lineage,Custom Lineage with Skill Proficiency,TCoE,Tasha’s Cauldron of Everything,20201117,TRUE,FALSE
Dhampir,Dhampir,VRGtR,Van Richten’s Guide to Ravenloft,20210518,TRUE,FALSE
Dragonborn,Black Dragonborn (PHB14),PHB14,Player’s Handbook (2014),20140819,TRUE,FALSE
Dragonborn,Blue Dragonborn (PHB14),PHB14,Player’s Handbook (2014),20140819,TRUE,FALSE
Dragonborn,Brass Dragonborn (PHB14),PHB14,Player’s Handbook (2014),20140819,TRUE,FALSE
Dragonborn,Bronze Dragonborn (PHB14),PHB14,Player’s Handbook (2014),20140819,TRUE,FALSE
Dragonborn,Copper Dragonborn (PHB14),PHB14,Player’s Handbook (2014),20140819,TRUE,FALSE
Dragonborn,Gold Dragonborn (PHB14),PHB14,Player’s Handbook (2014),20140819,TRUE,FALSE
Dragonborn,Green Dragonborn (PHB14),PHB14,Player’s Handbook (2014),20140819,TRUE,FALSE
Dragonborn,Red Dragonborn (PHB14),PHB14,Player’s Handbook (2014),20140819,TRUE,FALSE
Dragonborn,Silver Dragonborn (PHB14),PHB14,Player’s Handbook (2014),20140819,TRUE,FALSE
Dragonborn,White Dragonborn (PHB14),PHB14,Player’s Handbook (2014),20140819,TRUE,FALSE
Dragonborn,Black Dragonborn (PHB24),PHB24,Player’s Handbook (2024),20240917,FALSE,TRUE
Dragonborn,Blue Dragonborn (PHB24),PHB24,Player’s Handbook (2024),20240917,FALSE,TRUE
Dragonborn,Brass Dragonborn (PHB24),PHB24,Player’s Handbook (2024),20240917,FALSE,TRUE
Dragonborn,Bronze Dragonborn (PHB24),PHB24,Player’s Handbook (2024),20240917,FALSE,TRUE
Dragonborn,Copper Dragonborn (PHB24),PHB24,Player’s Handbook (2024),20240917,FALSE,TRUE
Dragonborn,Gold Dragonborn (PHB24),PHB24,Player’s Handbook (2024),20240917,FALSE,TRUE
Dragonborn,Green Dragonborn (PHB24),PHB24,Player’s Handbook (2024),20240917,FALSE,TRUE
Dragonborn,Red Dragonborn (PHB24),PHB24,Player’s Handbook (2024),20240917,FALSE,TRUE
Dragonborn,Silver Dragonborn (PHB24),PHB24,Player’s Handbook (2024),20240917,FALSE,TRUE
Dragonborn,White Dragonborn (PHB24),PHB24,Player’s Handbook (2024),20240917,FALSE,TRUE
Duskling,Duskling,DDB,D&D Beyond Drops,20260903,FALSE,TRUE
Dwarf,Duergar/Gray Elf (SCAG),SCAG,Sword Coast Adventurer's Guide,20151103,TRUE,FALSE
